analysis_id,yh6819g785ip9gu
gene_accession_id,MGI:3026886
parameter_name,Eye
parameter_id,M-G-P_013_001_001
mouse_strain,C57BL
gene_symbol,Cdin1
mouse_life_stage,E9.5
pvalue,0.7058839
