parameter_name,Limb coat/hair presence
analysis_id,e3daxm4g74gqd1d
pvalue,0.3779831
mouse_life_stage,Early adult
gene_symbol,Lamb3
gene_accession_id,MGI:99915
parameter_id,MGP_CSD_030_001
mouse_strain,C57BL
