parameter_name,Percent time in dark
mouse_life_stage,Early adult
gene_symbol,Ddx27
analysis_id,20861259p3eee60
gene_accession_id,MGI:2385884
parameter_id,JAX_LDT_008_001
mouse_strain,C57BL
pvalue,0.9031095
