parameter_id,IMPC_IMM_064_001
mouse_strain,C57BL
analysis_id,29ot690a8z843do
pvalue,0.7946866
mouse_life_stage,Early adult
gene_accession_id,MGI:1919107
gene_symbol,Slc17a9
parameter_name,B1B Cells
