gene_accession_id,MGI:2443597
parameter_id,JAX_LDT_005_001
parameter_name,Time mobile dark side
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,d344ng9254pw4s0
pvalue,0.7145428
gene_symbol,Tmem203
