gene_symbol,Atg4c
pvalue,0.3314321
mouse_life_stage,Early adult
analysis_id,2g6h550v42731r9
gene_accession_id,MGI:2651854
mouse_strain,C57BL
parameter_name,Breath rate during sleep mean
parameter_id,JAX_SLW_013_001
