parameter_id,HRWLLA_OFD_011_001
pvalue,0.1423991
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,AU040320
analysis_id,0c6wy67w4a15dhf
parameter_name,Periphery resting time
gene_accession_id,MGI:2140475
