parameter_name,Lumbar processes
gene_accession_id,MGI:3522699
analysis_id,4vcha0y395g887o
gene_symbol,Trpa1
pvalue,0.8956769
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_065_001
