parameter_name,HDL cholesterol
mouse_life_stage,Early adult
parameter_id,JAX_PLC_002_001
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
analysis_id,929hl9o2u7e0rrc
pvalue,0.2670623
mouse_strain,129SV
