parameter_name,Hematocrit
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,31v97n05r741a3m
pvalue,0.06075239
gene_accession_id,MGI:88380
gene_symbol,F2
parameter_id,IMPC_HEM_004_001
