mouse_life_stage,Middle aged adult
mouse_strain,C57BL
analysis_id,89966d0q13sfmwo
gene_accession_id,MGI:2446274
parameter_id,IMPC_OFD_009_001
parameter_name,Whole arena average speed
gene_symbol,Frmpd1
pvalue,0.8411551
