parameter_id,HMGULA_CBC_018_001
mouse_strain,C57BL
pvalue,0.2979396
mouse_life_stage,Early adult
analysis_id,oil3ne5fg505a5n
gene_symbol,Zmynd19
gene_accession_id,MGI:1914437
parameter_name,Glucose
