parameter_name,Percent time in light
gene_accession_id,MGI:1914061
mouse_life_stage,Early adult
gene_symbol,Duoxa2
analysis_id,4sb845al24eo579
mouse_strain,C57BL
parameter_id,JAX_LDT_009_001
pvalue,0.4805364
