mouse_life_stage,E12.5
gene_symbol,Dmap1
pvalue,0.6465789
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:1913483
parameter_id,MGP_IMM_027_001
analysis_id,0l49d7bye39q8vd
mouse_strain,C57BL
