analysis_id,615861f1cy23n09
pvalue,0.5760563
gene_symbol,Col6a3
parameter_name,Neutrophil cell count
mouse_strain,C57BL
parameter_id,IMPC_HEM_030_001
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
