mouse_strain,C57BL
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
parameter_id,IMPC_GPO_002_001
mouse_life_stage,E12.5
pvalue,0.0906806
parameter_name,Placenta Morphology
analysis_id,7uc5wk1ah2nq999
