gene_symbol,Sema6c
analysis_id,j05ilh047bo24uy
mouse_life_stage,Early adult
parameter_id,MGP_PBI_032_001
parameter_name,CD4+ KLRG1+ alpha beta T cell number
gene_accession_id,MGI:1338032
pvalue,0.5959735
mouse_strain,C57BL
