parameter_name,ST
mouse_life_stage,E9.5
gene_accession_id,MGI:87968
analysis_id,3s90x28464rbd2u
gene_symbol,Ahcy
parameter_id,IMPC_ECG_008_001
mouse_strain,C57BL
pvalue,0.929608
