analysis_id,b466335596ao021
gene_symbol,Dmap1
mouse_strain,C57BL
parameter_id,JAX_SLW_013_001
parameter_name,Breath rate during sleep mean
pvalue,0.568502
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
