parameter_name,Chloride
parameter_id,IMPC_CBC_003_001
pvalue,0.5549889
gene_symbol,Ntmt2
mouse_strain,C57BL
gene_accession_id,MGI:2685053
analysis_id,z0wz0n99r812057
mouse_life_stage,Early adult
