parameter_id,ESLIM_011_001_703
gene_accession_id,MGI:2140475
parameter_name,Prepulse inhibition - PP3
mouse_life_stage,Late adult
pvalue,0.2309682
mouse_strain,C57BL
gene_symbol,AU040320
analysis_id,hwt6516vp1149kc
