gene_symbol,Cds2
gene_accession_id,MGI:1332236
pvalue,0.3354705
mouse_strain,129SV
parameter_id,IMPC_GEO_019_001
mouse_life_stage,Early adult
parameter_name,Embryo Size
analysis_id,nj06q74lq6es6a7
