parameter_name,6kHz-evoked ABR Threshold
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_004_001
pvalue,0.6300552
analysis_id,mplmi6c70hr2kl5
mouse_strain,C57BL
gene_symbol,Bmp7
gene_accession_id,MGI:103302
