gene_symbol,AU040320
gene_accession_id,MGI:2140475
mouse_life_stage,Late adult
analysis_id,xz85s3r4lsj571f
pvalue,0.304931
parameter_name,Eosinophils - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_IMM_125_001
