analysis_id,hha103iev327x91
pvalue,0.6760111
parameter_id,IMPC_EYE_092_001
mouse_strain,C57BL
parameter_name,Retina (combined)
gene_accession_id,MGI:1923029
mouse_life_stage,Early adult
gene_symbol,Dnaaf9
