parameter_name,Total bilirubin
analysis_id,9xpj570k78m4ui0
pvalue,0.1137069
gene_symbol,Abo
parameter_id,IMPC_CBC_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2135738
