gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
pvalue,0.1436339
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,hu9e506f7ky0e5d
parameter_id,M-G-P_007_001_011
parameter_name,center - resting time
