analysis_id,a8mz43hw2922n0h
parameter_id,JAX_LDT_004_001
pvalue,0.8137867
gene_accession_id,MGI:1921493
parameter_name,Dark side time spent
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Slx4ip
