parameter_name,NK Subsets (Q2)
gene_symbol,Hspa5
mouse_strain,C57BL
pvalue,0.4255203
analysis_id,2yqw615sa41r531
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_055_001
gene_accession_id,MGI:95835
