Parameter_name,Alanine aminotransferase
Gene_symbol,Sla2
Analysis_id,227cqk22zp7hpw8
Mouse_life_stage,Early adult
Gene_accession_id,MGI:1925049
Pvalue,0.9533014
mouse_strain,C57BL
parameter_id,IMPC_CBC_013_001
