analysis_id,2s03r2yp88nf708
pvalue,0.8359795
parameter_id,HRWLLA_FEA_015_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:109356
parameter_name,Cue Baseline % Freezing Time
gene_symbol,Snap23
