gene_symbol,Gpr39
parameter_name,Calcium
parameter_id,HMGULA_CBC_009_001
analysis_id,96971oofs0zj6l3
gene_accession_id,MGI:1918361
mouse_life_stage,Early adult
mouse_strain,C54BL
pvalue,0.1840511
