gene_symbol,Nanp
parameter_id,MGP_PBI_033_001
mouse_strain,C57BL
gene_accession_id,MGI:1914561
analysis_id,mhy4y3mas9dwq98
pvalue,0.1167231
mouse_life_stage,E18.5
parameter_name,CD8+ KLRG1+ alpha beta T cell number
