gene_symbol,Stk35
analysis_id,j0q5174zn836m5n
pvalue,0.9542273
gene_accession_id,MGI:1914583
parameter_name,Tremor
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,TCPLA_CSD_030_001
