parameter_name,Aspartate aminotransferase
mouse_life_stage,Early adult
gene_accession_id,MGI:1921802
analysis_id,86r401w3kd06z91
gene_symbol,Nipal3
mouse_strain,129SV
pvalue,0.8417862
parameter_id,IMPC_CBC_012_001
