parameter_name,Ventral coat/hair presence
mouse_strain,C57BL
gene_accession_id,MGI:1336200
mouse_life_stage,Late adult
parameter_id,MGP_CSD_025_001
pvalue,0.9264454
analysis_id,3q63h02t3m0lh89
gene_symbol,Hpca
