analysis_id,bwqk0crr075h9fl
mouse_life_stage,Early adult
gene_symbol,Cntfr
parameter_id,JAXLA_DXA_007_001
parameter_name,BMC/Body weight
gene_accession_id,MGI:99605
mouse_strain,129SV
pvalue,0.05292613
