parameter_name,Mean-cell-volume
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
parameter_id,M-G-P_016_001_005
analysis_id,n60s65zbo5k8w38
gene_symbol,Npbwr1
pvalue,0.2475164
mouse_strain,C57BL
