analysis_id,4656k1d2nxptfqv
gene_symbol,Duoxa2
parameter_name,Cholesterol ratio
gene_accession_id,MGI:1914061
pvalue,0.06841202
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_058_001
