parameter_id,IMPC_FEA_003_001
pvalue,0.6795697
mouse_strain,C57BL
analysis_id,kkgg1j204505o5s
parameter_name,Conditioning Baseline % Freezing Time
mouse_life_stage,Early adult
gene_symbol,Atf3
gene_accession_id,MGI:109384
