analysis_id,s2350ocll40109k
mouse_life_stage,E12.5
Pvalue,0.6300138
gene_accession_id,MGI:87968
mouse_strain,C57BL
Parameter_id,MGP_IMM_036_001
gene_symbol,Ahcy
parameter_name,KLRG1+ NK cells - % of NK cells
