gene_symbol,Dnaaf9
mouse_life_stage,Early adult
pvalue,0.4930376
analysis_id,nmc5ysw37t287c4
parameter_id,ESLIM_001_001_117
parameter_name,eye size
mouse_strain,C57BL
gene_accession_id,MGI:1923029
