analysis_id,ocsmx937fn77nmt
gene_accession_id,MGI:1931322
parameter_name,Large Unstained Cell (LUC) count
pvalue,0.6144057
gene_symbol,Car13
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_HEM_039_001
