analysis_id,xfo5u4z2g0p9p28
mouse_life_stage,Early adult
parameter_id,MGP_MLN_001_001
mouse_strain,C57BL
pvalue,0.9628358
parameter_name,Total T cells - % of CD45+
gene_accession_id,MGI:1914672
gene_symbol,Dhdds
