gene_symbol,Arpc5l
parameter_name,White blood cell-count
analysis_id,1587rd18fl69upy
pvalue,0.6314575
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,M-G-P_016_001_001
