parameter_id,IMPC_EYE_092_002
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
analysis_id,n9p4v22039tm5bo
pvalue,0.1169077
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Retina (combined)
