analysis_id,36dt1kbw41f4cqo
pvalue,0.7750331
gene_symbol,Lamb3
parameter_id,MGP_PBI_027_001
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,NK cell number
