parameter_name,Bone Area
gene_accession_id,MGI:105072
pvalue,0.1781856
mouse_strain,C57BL
gene_symbol,Rab22a
analysis_id,eiw388rgkk89g85
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_010_001
