analysis_id,kq1l1859w054v71
mouse_life_stage,E15.5
pvalue,0.4994247
parameter_id,MGP_PBI_002_001
parameter_name,Alpha beta T cell percentage
gene_accession_id,MGI:2444554
mouse_strain,C57BL
gene_symbol,Mapkap1
