parameter_name,Whole arena average speed
analysis_id,zw0dak8u0y2gkw0
gene_symbol,AU040320
gene_accession_id,MGI:2140475
mouse_life_stage,Middle aged adult
pvalue,0.3456523
parameter_id,ESLIM_007_001_005
mouse_strain,C57BL
