parameter_name,Retinal Blood Vessels Pattern
parameter_id,IMPC_EYE_026_001
pvalue,0.4161129
analysis_id,mt8yjm83u99u1k3
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914561
gene_symbol,Nanp
