gene_symbol,Dcaf10
gene_accession_id,MGI:2140179
analysis_id,23q0q07ab3z09v4
parameter_name,Conditioning Baseline % Freezing Time
mouse_life_stage,Early adult
pvalue,0.2687685
parameter_id,IMPC_FEA_003_001
mouse_strain,C57BL
