parameter_id,HRWLLA_DXA_007_001
gene_symbol,Hspa5
analysis_id,66nyh4ozz944837
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.2497412
parameter_name,BMC/Body weight
gene_accession_id,MGI:95835
