parameter_id,MGP_MLN_075_001
analysis_id,570277ir0nz73v8
gene_accession_id,MGI:97838
mouse_life_stage,E12.5
gene_symbol,Eprs1
pvalue,0.2627314
parameter_name,Resting CD8+ T cells - % of CD45+
mouse_strain,C57BL
