parameter_name,B1B Cells
mouse_life_stage,Middle aged adult
analysis_id,1yr603207ok5129
parameter_id,IMPC_IMM_064_001
gene_accession_id,MGI:1336200
pvalue,0.3098564
gene_symbol,Hpca
mouse_strain,C57BL
