parameter_name,Limb morphology
pvalue,0.2692557
gene_accession_id,MGI:88328
mouse_strain,C57BL
parameter_id,IMPC_GEP_084_001
mouse_life_stage,Early adult
analysis_id,7tz1930532ei79t
gene_symbol,Tnfsf8
