parameter_name,Platelet count
parameter_id,IMPC_HEM_008_001
gene_symbol,Dnaaf9
gene_accession_id,MGI:1923029
mouse_life_stage,Early adult
analysis_id,3mifr31iz621jr7
pvalue,0.122026
mouse_strain,C57BL
