parameter_name,Hindlimb digit - size
gene_accession_id,MGI:1913483
mouse_strain,C57BL
mouse_life_stage,E12.5
analysis_id,4z63ah7518bie6g
pvalue,0.7539443
parameter_id,IMPC_CSD_047_001
gene_symbol,Dmap1
