analysis_id,h528n1sbdad3s52
pvalue,0.5816478
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rab13
parameter_id,M-G-P_014_001_009
parameter_name,lens
gene_accession_id,MGI:1927232
