gene_symbol,Msantd3
parameter_name,Eosinophils
gene_accession_id,MGI:1913915
mouse_strain,C59BL
pvalue,0.714797
mouse_life_stage,Early adult
analysis_id,4558h54p4cdh44v
parameter_id,IMPC_IMM_052_001
