parameter_name,Neutrophils
mouse_strain,C57BL
parameter_id,IMPC_IMM_050_001
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
analysis_id,b556nq743ka988l
pvalue,0.9696633
mouse_life_stage,Early adult
