analysis_id,db1hf9182543r4o
mouse_strain,C57BL
parameter_id,IMPC_CSD_036_001
parameter_name,Startle response
pvalue,0.1072879
gene_accession_id,MGI:1919107
gene_symbol,Slc17a9
mouse_life_stage,Early adult
