mouse_life_stage,E18.5
pvalue,0.693028
mouse_strain,C57BL
parameter_id,JAX_OFD_021_001
parameter_name,Number of rears - total
gene_symbol,Lpgat1
analysis_id,29080v9vzpm3qa6
gene_accession_id,MGI:2446186
