gene_symbol,Trp53i11
analysis_id,7e3fh2yb3q3v759
parameter_id,MGP_CSD_067_001
parameter_name,Snout size
gene_accession_id,MGI:2670995
mouse_life_stage,Early adult
pvalue,0.1843762
mouse_strain,C57BL
